tipo,zona,dormitorios,duchas,garajes,m2,precio
Casas,Norte,4,3,2,200,205000
Casas,Norte,4,3,2,182,148000
Casas,Urubo,4,3,3,327,330000
Departamentos,Oeste,3,3,2,267,403800
Casas,Norte,3,3,2,236,148000
Casas,Urubo,5,2,2,164,110000
Casas,Norte,3,3,2,289,170000
Casas,Oeste,5,3,3,300,210000
Casas,Centro,3,2,0,155,120000
Casas,Este,5,3,2,342,102000
Casas,Este,3,2,2,200,85000
Casas,Sur,5,3,0,300,360000
Casas,Norte,3,1,2,170,125000
Casas,Norte,3,3,2,160,117000
Casas,Norte,4,3,1,151,129000
Casas,Sur,5,3,1,320,260000
Casas,Urubo,4,3,3,280,370000
Departamentos,Sur,4,3,1,155,175000
Casas,Norte,4,3,2,360,290000
Departamentos,Norte,3,3,1,170,160000
Casas,Este,5,3,0,420,280000
Casas,Oeste,3,2,1,290,140000
Departamentos,Oeste,4,3,0,224,300000
Departamentos,Oeste,3,2,2,157,165000
Casas,Norte,3,3,0,187,149000
Casas,Oeste,3,3,1,195,160000
Casas,Oeste,3,2,1,232,175000
Casas,Norte,3,2,1,180,75000
Casas,Norte,4,2,3,250,485000
Casas,Norte,3,3,2,170,120000
Casas,Norte,3,2,2,200,155000
Casas,Centro,5,2,2,300,223000
Casas,Este,4,3,2,250,168000
Casas,Norte,5,3,2,270,175000
Departamentos,Oeste,3,3,0,202,120000
Casas,Sur,5,2,0,300,65000
Casas,Sur,3,2,2,218,130000
Casas,Centro,5,2,1,321,290000
Departamentos,Oeste,3,3,2,205,300000
Casas,Sur,4,2,0,275,100000
Casas,Este,4,3,2,250,190000
Departamentos,Centro,5,3,0,162,139500
Casas,Sur,3,2,2,213,130000
Casas,Norte,3,3,2,376,385000
Casas,Norte,3,3,2,155,108000
Departamentos,Centro,4,3,3,233,249000
Casas,Norte,3,3,2,207,180000
Casas,Este,3,2,1,180,75000
Casas,Norte,3,3,1,190,159000
Casas,Este,5,3,3,360,315000
Casas,Urubo,4,3,0,485,380000
Casas,Norte,3,2,1,256,137000
Casas,Norte,3,3,2,190,139000
Departamentos,Norte,2,3,0,230,295000
Casas,Norte,4,3,1,350,220000
Casas,Sur,3,3,2,245,135000
Departamentos,Norte,5,2,1,151,140000
Casas,Norte,2,3,1,160,129000
Casas,Centro,3,3,2,313,210000
Casas,Norte,4,3,2,280,135000
Casas,Norte,3,2,0,294,285000
Casas,Norte,4,3,1,310,230000
Casas,Este,4,3,1,350,175000
Casas,Sur,4,3,2,446,425000
Casas,Norte,3,3,2,204,116000
Departamentos,Norte,3,3,2,165,165000
Casas,Norte,3,3,2,240,175000
Departamentos,Norte,3,3,2,215,310000
Casas,Norte,3,3,3,225,155000
Departamentos,Norte,3,3,1,175,250000
Casas,Urubo,4,3,3,300,295000
Casas,Norte,3,3,2,170,135000
Casas,Este,5,3,3,200,170000
Departamentos,Sur,4,3,1,195,125000
Casas,Norte,4,3,2,390,248000
Casas,Norte,3,3,2,198,190000
Casas,Norte,5,3,0,263,250000
Casas,Sur,4,3,0,434,280000
Casas,Norte,4,3,2,430,230000
Casas,Oeste,3,3,2,350,145000
Casas,Sur,4,3,1,250,170000
Casas,Norte,4,3,2,180,145000
Casas,Norte,4,3,1,165,125000
Casas,Urubo,4,3,3,311,235000
Casas,Este,5,3,1,500,470000
Casas,Sur,5,2,2,265,300000
Casas,Sur,3,1,0,200,110000
Casas,Centro,3,3,2,300,330000
Casas,Sur,3,2,2,200,115000
Casas,Urubo,3,3,2,156,78000
Casas,Oeste,5,3,0,410,280000
Casas,Sur,5,2,0,240,115000
Casas,Norte,4,2,3,160,72000
Casas,Oeste,4,3,3,313,345000
Casas,Norte,3,3,2,220,155000
Casas,Norte,4,3,2,209,155000
Casas,Norte,3,3,2,158,115000
Casas,Este,4,3,2,210,110000
Casas,Norte,4,3,2,300,140000
Casas,Sur,3,3,2,211,130000
Casas,Norte,3,2,1,200,120000
Casas,Norte,3,3,2,159,110000
Departamentos,Este,4,3,2,200,200000
Casas,Norte,3,3,0,200,140000
Casas,Sur,5,3,1,430,140000
Casas,Norte,4,3,3,265,340000
Casas,Norte,5,3,0,436,230000
Casas,Sur,3,3,2,183,135000
Casas,Norte,3,3,3,175,166000
Casas,Norte,5,3,3,240,190000
Casas,Norte,3,3,3,200,200000
Casas,Este,4,3,2,212,149000
Casas,Norte,3,3,1,210,140000
Casas,Sur,3,3,2,180,99000
Casas,Norte,5,3,3,275,120000
Casas,Norte,3,3,3,250,220000
Departamentos,Norte,4,3,2,200,280000
Casas,Norte,5,3,2,517,340000
Casas,Norte,5,3,2,370,195000
Casas,Centro,4,2,2,178,130000
Casas,Norte,5,3,3,315,185000
Casas,Norte,3,2,2,283,275000
Casas,Centro,3,3,3,234,220000
Casas,Norte,3,3,3,332,354000
Casas,Oeste,3,2,2,225,115000
Casas,Oeste,3,3,2,192,165000
Casas,Norte,3,3,2,265,190000
Departamentos,Oeste,3,3,1,123,95000
Casas,Oeste,4,3,3,350,169000
Departamentos,Centro,3,2,1,205,110000
Casas,Norte,5,3,3,457,310000
Casas,Oeste,4,2,2,170,178000
Casas,Urubo,4,3,1,200,210000
Casas,Este,5,3,2,304,280000
Casas,Urubo,4,3,3,400,298000
Casas,Sur,4,3,3,420,430000
Casas,Norte,4,3,2,160,129000
Casas,Este,3,2,3,160,135000
Casas,Norte,4,2,2,320,67000
Casas,Norte,3,3,0,200,185000
Casas,Norte,4,3,0,212,235000
Casas,Oeste,5,3,3,190,220000
Casas,Norte,4,2,2,300,220000
Casas,Norte,3,3,2,200,139000
Departamentos,Norte,3,3,1,154,154000
Casas,Norte,3,3,2,186,140000
Casas,Norte,5,3,0,360,170000
Casas,Norte,5,3,2,235,230000
Departamentos,Norte,3,3,2,237,315000
Departamentos,Norte,3,3,2,202,245000
Casas,Sur,4,3,0,250,200000
Casas,Norte,4,3,3,191,195000
Casas,Urubo,3,3,2,340,190000
Casas,Este,4,2,2,224,100000
Departamentos,Norte,3,3,2,200,325000
Casas,Norte,4,1,0,215,133000
Casas,Oeste,4,2,2,158,163000
Casas,Norte,5,3,3,577,380000
Departamentos,Centro,3,3,2,160,150000
Casas,Norte,4,3,3,270,175000
Casas,Sur,5,3,0,320,180000
Casas,Urubo,4,3,2,245,280000
Casas,Norte,4,3,3,202,129000
Casas,Sur,5,2,2,390,149000
Casas,Norte,4,3,2,355,150000
Casas,Oeste,3,3,2,228,124000
Casas,Norte,4,3,3,191,240000
Casas,Sur,5,2,3,299,95000
Departamentos,Este,3,3,1,184,169900
Casas,Oeste,3,2,1,180,98000
Casas,Sur,4,3,0,180,105000
Casas,Centro,3,3,1,173,160000
Departamentos,Sur,4,3,0,195,285000
Casas,Urubo,4,3,2,344,274000
Casas,Norte,4,3,3,256,165000
Casas,Urubo,4,3,3,480,460000
Casas,Oeste,4,3,3,360,370000
Casas,Norte,5,3,0,350,180000
Casas,Sur,3,2,0,360,72000
Casas,Sur,4,3,0,220,165000
Casas,Este,3,2,2,180,130000
Departamentos,Norte,3,3,1,175,205000
Casas,Norte,5,3,3,592,490000
Casas,Sur,5,3,3,350,445000
Casas,Norte,4,3,0,220,139000
Casas,Este,3,2,2,220,85000
Casas,Sur,3,3,2,347,240000
Casas,Norte,3,3,0,239,160000
Casas,Norte,5,3,0,365,410000
Casas,Sur,3,3,3,202,100000
Casas,Norte,5,3,0,360,210000
Casas,Sur,3,3,2,200,135000
Casas,Norte,3,3,2,346,362000
Casas,Norte,3,3,2,185,150000
Casas,Norte,3,3,2,332,354000
Casas,Norte,4,3,2,200,150000
Casas,Oeste,4,3,0,200,105000
Casas,Norte,3,3,3,189,148000
Casas,Este,4,3,3,235,172000
Casas,Sur,3,3,3,320,450000
Departamentos,Oeste,2,2,1,160,95000
Casas,Urubo,4,3,3,325,210000
Casas,Sur,3,3,3,500,295000
Casas,Norte,4,3,2,260,290000
Casas,Este,3,3,3,360,385000
Casas,Este,3,3,0,312,250000
Casas,Norte,4,3,2,254,350000
Casas,Sur,4,3,2,251,138000
Casas,Norte,5,2,2,245,190000
Casas,Norte,3,3,2,197,160000
Casas,Sur,3,2,1,200,180000
Casas,Norte,3,3,2,190,145000
Casas,Norte,4,3,3,390,261000
Casas,Este,5,3,3,280,180000
Casas,Norte,4,3,2,240,190000
Casas,Norte,3,3,1,200,125000
Casas,Oeste,3,3,2,200,221000
Casas,Centro,5,2,1,220,139500
Casas,Sur,4,3,3,190,135000
Departamentos,Oeste,3,3,1,170,145000
Departamentos,Norte,3,3,0,165,165000
Casas,Sur,3,1,2,360,139000
Casas,Sur,4,3,2,325,120000
Casas,Norte,4,3,3,225,165000
Casas,Centro,4,3,0,312,370000
Departamentos,Oeste,2,3,2,170,245000
Departamentos,Norte,3,3,1,153,170000
Casas,Sur,3,3,3,218,135000
Departamentos,Norte,3,3,1,247,195000
Casas,Urubo,3,3,3,260,250000
Casas,Urubo,3,3,2,245,240000
Casas,Este,4,3,2,400,380000
Departamentos,Norte,2,3,1,175,268000
Casas,Norte,3,3,2,220,155000
Casas,Norte,3,3,3,212,230000
Casas,Norte,3,3,2,202,175000
Casas,Sur,3,3,2,165,110000
Casas,Centro,5,3,2,263,260000
Casas,Urubo,4,3,3,480,450000
Casas,Urubo,3,3,3,290,269000
Casas,Centro,5,2,1,252,285000
Casas,Norte,4,3,0,200,195000
Casas,Este,4,3,0,180,121000
Casas,Centro,4,2,3,378,185000
Casas,Norte,5,2,0,340,157000
Casas,Norte,5,3,3,530,485000
Casas,Norte,3,3,0,317,220000
Casas,Norte,5,3,0,350,280000
Casas,Norte,5,3,2,315,210000
Casas,Norte,3,2,2,250,230000
Casas,Norte,5,3,2,250,179000
Casas,Sur,3,3,2,160,130000
Casas,Centro,3,3,0,159,119500
Casas,Oeste,3,3,0,160,153000
Casas,Oeste,2,1,0,161,120000
Casas,Sur,4,3,0,350,245000
Casas,Norte,3,2,3,180,133000
Casas,Este,3,3,2,220,150000
Casas,Oeste,4,3,3,350,315000
Casas,Este,5,3,2,320,250000
Casas,Norte,3,2,1,231,98000
Casas,Este,4,2,3,160,100000
Casas,Oeste,4,2,0,245,138500
Casas,Norte,5,3,0,300,445200
Casas,Norte,3,3,2,248,149500
Casas,Urubo,4,3,3,214,210000
Casas,Norte,4,3,2,300,365000
Casas,Norte,4,2,1,242,155000
Casas,Norte,3,3,2,180,108000
Casas,Este,4,3,2,207,140000
Casas,Este,3,3,2,265,260000
Casas,Oeste,3,2,2,200,197000
Casas,Urubo,3,3,3,265,195000
Departamentos,Sur,3,3,1,212,200000
Casas,Oeste,5,3,3,540,420000
Casas,Norte,4,3,3,300,480000
Casas,Norte,4,3,2,285,207000
Casas,Sur,3,3,2,207,135000
Casas,Oeste,4,3,2,300,250000
Casas,Norte,5,3,3,321,200000
Casas,Norte,5,3,0,400,198000
Casas,Oeste,5,3,3,351,300000
Casas,Norte,4,3,2,250,220000
Departamentos,Norte,3,3,2,160,198000
Casas,Norte,3,3,3,360,295000
Casas,Norte,3,3,2,204,165000
Casas,Centro,5,3,3,260,240000
Casas,Urubo,3,3,2,300,390000
Casas,Oeste,4,3,3,265,178000
Casas,Oeste,3,3,2,240,170000
Casas,Oeste,3,3,2,190,159000
Casas,Norte,4,3,3,360,240000
Casas,Norte,4,3,1,170,150000
Casas,Norte,3,2,2,180,98000
Casas,Norte,4,3,3,295,290000
Casas,Norte,3,3,2,342,360000
Casas,Oeste,3,3,3,298,240000
Casas,Oeste,4,3,2,155,178000
Casas,Este,5,3,1,200,110000
Casas,Norte,3,3,1,214,140000
Casas,Centro,5,3,0,486,450000
Casas,Urubo,3,3,2,385,350000
Casas,Centro,3,2,0,200,65000
Casas,Oeste,4,3,3,220,135000
Departamentos,Sur,3,3,2,213,220000
Casas,Centro,5,3,2,500,250000
Casas,Centro,3,3,2,525,280000
Casas,Norte,5,3,3,377,295000
Casas,Este,3,2,2,160,95000
Casas,Urubo,5,3,3,500,365000
Casas,Sur,4,3,0,225,126000
Casas,Norte,3,3,3,189,150000
Casas,Oeste,3,3,2,164,170000
Casas,Norte,3,3,3,310,175000
Departamentos,Sur,3,3,1,152,122000
Departamentos,Urubo,3,3,0,156,145000
Departamentos,Norte,3,3,2,211,165000
Casas,Este,3,2,2,197,65500
Casas,Oeste,3,3,3,365,370000
Casas,Oeste,5,3,3,366,350000
Casas,Sur,4,3,0,165,108000
Departamentos,Norte,3,3,2,283,260000
Casas,Norte,4,3,0,200,120000
Casas,Norte,5,3,3,180,125000
Casas,Norte,3,3,2,200,117000
Casas,Este,3,3,2,220,149000
Casas,Norte,4,3,2,180,140000
Casas,Norte,3,3,0,340,265000
Casas,Sur,5,1,3,250,80000
Casas,Sur,3,2,2,160,112000
Casas,Norte,5,3,2,405,288000
Casas,Norte,3,3,2,204,152000
Casas,Norte,4,3,3,462,320000
Casas,Este,5,3,0,260,92000
Casas,Oeste,4,3,3,371,495000
Casas,Norte,3,2,2,212,150000
Casas,Norte,4,2,2,177,129000
Casas,Este,5,3,3,538,390000
Casas,Centro,5,3,0,420,430000
Casas,Norte,3,3,2,400,375000
Casas,Oeste,4,3,2,300,365000
Departamentos,Este,3,3,1,178,115000
Casas,Oeste,3,3,2,152,119500
Casas,Norte,3,3,2,350,300000
Casas,Norte,4,3,2,200,135000
